id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2020-11-22T08:08:48;Computers Small Fresh Gloves back-end;CANCELLED;PAYPAL;2020-11-22T21:05:10;19438;relationships Philippine Peso;1
2;2020-11-22T19:00:22;Frozen Analyst card;PAID;CREDIT_CARD;2020-11-22T17:54:09;96264;navigating;2
3;2020-11-22T05:37:24;paradigms Salad Table;PAID;CASH_ON_DELIVERY;2020-11-22T04:37:02;65711;e-markets system;3
4;2020-11-22T21:10:53;Louisiana;PAID;PAYPAL;2020-11-21T22:49:07;70365;Bridge;4
5;2020-11-22T19:58:43;Buckinghamshire Hollow Shoes;CANCELLED;CREDIT_CARD;2020-11-22T07:18:22;93343;Cambridgeshire Norfolk Island;5
6;2020-11-22T05:54:42;Checking Account;CANCELLED;CASH_ON_DELIVERY;2020-11-22T02:51:28;54561;Web revolutionize Branding;6
7;2020-11-22T00:35:54;black;ISSUED;CASH_ON_DELIVERY;2020-11-22T20:37:05;65572;generate;7
8;2020-11-22T05:58:05;wireless;PAID;PAYPAL;2020-11-22T12:17:46;80348;intermediate Table quantify;8
9;2020-11-22T02:57:46;Producer infrastructures;CANCELLED;PAYPAL;2020-11-22T04:13:04;23823;iterate;9
10;2020-11-22T09:30:10;Buckinghamshire monetize;ISSUED;PAYPAL;2020-11-22T01:59:43;9128;time-frame Quality;10
